Date,Close Price,Open,High,Low,Vol.,Change %
21-Feb-07,5951.8,"5,981.50","5,991.80","5,951.00",623.69M,-0.63%
22-Feb-07,6017.1,"5,953.40","6,017.10","5,952.60",819.21M,1.10%
23-Feb-07,6036.1,"6,019.60","6,052.10","6,019.10",968.64M,0.32%
26-Feb-07,6044,"6,036.50","6,044.00","6,008.00",730.23M,0.13%
27-Feb-07,5993.8,"6,043.30","6,043.30","5,993.80",663.76M,-0.83%
28-Feb-07,5832.5,"5,992.60","5,992.60","5,786.80",920.10M,-2.69%
1-Mar-07,5810.2,"5,840.60","5,858.50","5,797.30",710.34M,-0.38%
2-Mar-07,5786,"5,804.70","5,825.80","5,780.90",639.10M,-0.42%
5-Mar-07,5653.6,"5,772.00","5,772.00","5,653.60",781.07M,-2.29%
6-Mar-07,5771.8,"5,657.20","5,771.80","5,641.10",752.47M,2.09%
7-Mar-07,5825.3,"5,777.90","5,830.10","5,777.90",673.64M,0.93%
8-Mar-07,5822.3,"5,820.20","5,827.00","5,774.60",619.67M,-0.05%
9-Mar-07,5830.2,"5,827.50","5,852.60","5,820.60",655.52M,0.14%
12-Mar-07,5891,"5,828.00","5,891.00","5,820.30",553.21M,1.04%
13-Mar-07,5865,"5,893.30","5,917.70","5,860.90",597.75M,-0.44%
14-Mar-07,5741.9,"5,837.20","5,837.20","5,741.90",619.98M,-2.10%
15-Mar-07,5853,"5,769.70","5,857.10","5,764.30",934.59M,1.93%
16-Mar-07,5836.3,"5,861.90","5,874.50","5,814.60",688.30M,-0.29%
19-Mar-07,5859.7,"5,838.30","5,875.00","5,818.60",421.51M,0.40%
20-Mar-07,5876.6,"5,871.50","5,922.20","5,871.50",489.21M,0.29%
21-Mar-07,5861.9,"5,883.00","5,906.70","5,860.30",538.87M,-0.25%
22-Mar-07,5955.7,"5,879.00","5,955.70","5,879.00",660.79M,1.60%
23-Mar-07,5952.3,"5,954.20","5,968.10","5,938.60",617.30M,-0.06%
26-Mar-07,5990.7,"5,958.80","5,992.00","5,957.90",547.16M,0.65%
27-Mar-07,5964.2,"5,986.30","5,988.60","5,963.60",626.11M,-0.44%
28-Mar-07,5923.2,"5,958.80","5,979.20","5,917.30",675.01M,-0.69%
29-Mar-07,5960.9,"5,919.30","5,960.90","5,905.30",819.71M,0.64%
30-Mar-07,5995,"5,968.20","5,998.90","5,968.10",840.88M,0.57%
2-Apr-07,5915.8,"5,994.00","5,994.00","5,915.80",563.80M,-1.32%
3-Apr-07,6013.4,"5,929.90","6,013.40","5,929.50",593.62M,1.65%
4-Apr-07,6097.2,"6,027.60","6,097.20","6,027.60",663.84M,1.39%
5-Apr-07,6077.1,"6,093.80","6,093.80","6,064.60",629.03M,-0.33%
10-Apr-07,6153,"6,083.20","6,155.20","6,083.20",590.72M,1.25%
11-Apr-07,6151.4,"6,160.50","6,176.90","6,142.10",659.31M,-0.03%
12-Apr-07,6158.2,"6,147.80","6,167.90","6,129.10",605.20M,0.11%
13-Apr-07,6135.8,"6,167.40","6,195.80","6,125.30",793.53M,-0.36%
16-Apr-07,6197.7,"6,146.60","6,206.30","6,146.30",671.19M,1.01%
17-Apr-07,6186.5,"6,202.30","6,237.70","6,169.50",654.96M,-0.18%
18-Apr-07,6236.9,"6,192.50","6,265.20","6,191.30",810.52M,0.81%
19-Apr-07,6165.1,"6,229.20","6,229.20","6,159.40",727.72M,-1.15%
20-Apr-07,6207.5,"6,168.90","6,211.00","6,168.90",541.44M,0.69%
23-Apr-07,6209.1,"6,218.40","6,252.30","6,165.60",616.88M,0.03%
24-Apr-07,6188.2,"6,210.00","6,232.50","6,177.30",632.97M,-0.34%
26-Apr-07,6212.2,"6,195.50","6,227.30","6,195.50",679.72M,0.39%
27-Apr-07,6151.6,"6,201.80","6,201.80","6,144.20",804.61M,-0.98%
30-Apr-07,6166,"6,157.30","6,205.90","6,157.30",611.58M,0.23%
1-May-07,6145.8,"6,163.20","6,172.20","6,134.20",705.94M,-0.33%
2-May-07,6237.7,"6,155.20","6,239.80","6,154.90",732.88M,1.50%
3-May-07,6245.6,"6,244.60","6,258.10","6,224.20",616.58M,0.13%
4-May-07,6304.9,"6,255.80","6,304.90","6,255.80",577.20M,0.95%
7-May-07,6335.7,"6,320.00","6,338.20","6,294.30",556.71M,0.49%
8-May-07,6304.4,"6,340.40","6,341.10","6,291.00",872.11M,-0.49%
9-May-07,6341,"6,297.90","6,382.70","6,283.60",647.25M,0.58%
10-May-07,6355.5,"6,350.30","6,355.50","6,312.10",744.05M,0.23%
11-May-07,6297.4,"6,334.70","6,334.70","6,280.50",622.71M,-0.91%
14-May-07,6345.1,"6,307.60","6,360.30","6,307.60",511.21M,0.76%
15-May-07,6291.2,"6,331.40","6,335.30","6,282.10",644.68M,-0.85%
16-May-07,6294.6,"6,298.70","6,314.30","6,267.30",581.45M,0.05%
17-May-07,6365.9,"6,303.20","6,365.90","6,303.20",787.23M,1.13%
18-May-07,6312.5,"6,352.20","6,356.90","6,300.10",605.28M,-0.84%
21-May-07,6369,"6,318.70","6,384.10","6,318.70",564.10M,0.90%
22-May-07,6338.8,"6,368.40","6,384.10","6,330.30",684.09M,-0.47%
23-May-07,6355.1,"6,330.80","6,378.30","6,321.40",631.01M,0.26%
24-May-07,6279.1,"6,351.10","6,351.10","6,277.90",816.34M,-1.20%
25-May-07,6252.8,"6,272.90","6,272.90","6,226.40",989.21M,-0.42%
28-May-07,6251.4,"6,264.50","6,293.90","6,237.80",513.99M,-0.02%
29-May-07,6317.6,"6,251.60","6,318.30","6,242.00",567.68M,1.06%
30-May-07,6243.4,"6,317.00","6,317.00","6,231.00",736.86M,-1.17%
31-May-07,6313.5,"6,260.90","6,342.50","6,260.90",925.01M,1.12%
1-Jun-07,6333.5,"6,321.00","6,352.50","6,313.80",729.87M,0.32%
4-Jun-07,6392.9,"6,346.40","6,409.20","6,346.40",607.14M,0.94%
5-Jun-07,6370.8,"6,393.50","6,395.90","6,369.10",744.58M,-0.35%
6-Jun-07,6337.1,"6,368.80","6,376.00","6,315.20",711.09M,-0.53%
7-Jun-07,6311.1,"6,318.50","6,318.50","6,258.30",694.06M,-0.41%
8-Jun-07,6231.7,"6,300.00","6,300.00","6,199.30",835.07M,-1.26%
12-Jun-07,6240,"6,249.30","6,294.90","6,235.90",654.73M,0.13%
13-Jun-07,6180.7,"6,224.30","6,225.40","6,170.20",695.90M,-0.95%
14-Jun-07,6261.2,"6,212.80","6,263.10","6,212.30",703.38M,1.30%
15-Jun-07,6293.8,"6,272.50","6,298.50","6,268.00",780.93M,0.52%
18-Jun-07,6343.4,"6,304.00","6,355.80","6,304.00",695.73M,0.79%
19-Jun-07,6372,"6,339.80","6,381.60","6,316.00",959.72M,0.45%
20-Jun-07,6396.9,"6,367.70","6,403.90","6,348.70",820.94M,0.39%
21-Jun-07,6387,"6,393.50","6,393.50","6,361.70",1.34B,-0.15%
22-Jun-07,6382.6,"6,391.40","6,391.60","6,349.00",750.54M,-0.07%
25-Jun-07,6329.8,"6,378.80","6,378.80","6,315.00",660.86M,-0.83%
26-Jun-07,6308.6,"6,329.90","6,347.00","6,303.70",679.40M,-0.33%
27-Jun-07,6184.2,"6,300.10","6,302.20","6,184.20",890.68M,-1.97%
28-Jun-07,6265.6,"6,200.10","6,265.70","6,200.10",942.13M,1.32%
29-Jun-07,6274.9,"6,271.40","6,293.10","6,243.50",1.35B,0.15%
2-Jul-07,6263.3,"6,282.00","6,290.70","6,254.60",819.13M,-0.18%
3-Jul-07,6299,"6,282.10","6,319.30","6,279.30",886.52M,0.57%
4-Jul-07,6298.6,"6,306.40","6,320.00","6,290.80",736.98M,-0.01%
5-Jul-07,6362.3,"6,300.60","6,362.30","6,300.60",671.31M,1.01%
6-Jul-07,6351.1,"6,361.80","6,361.80","6,318.50",657.39M,-0.18%
9-Jul-07,6400.6,"6,353.00","6,400.60","6,353.00",506.77M,0.78%
10-Jul-07,6361.5,"6,402.60","6,403.00","6,359.80",640.85M,-0.61%
11-Jul-07,6325.1,"6,357.90","6,357.90","6,300.80",672.38M,-0.57%
12-Jul-07,6363.4,"6,335.90","6,365.80","6,328.60",736.04M,0.61%
13-Jul-07,6389.4,"6,390.10","6,436.70","6,389.40",651.11M,0.41%
16-Jul-07,6380.8,"6,390.00","6,415.10","6,377.80",605.75M,-0.13%
17-Jul-07,6381.6,"6,385.50","6,391.50","6,368.80",605.30M,0.01%
18-Jul-07,6329.1,"6,372.10","6,372.10","6,326.40",649.28M,-0.82%
19-Jul-07,6384.2,"6,333.60","6,385.90","6,333.60",711.27M,0.87%
20-Jul-07,6421.8,"6,387.00","6,422.30","6,387.00",720.61M,0.59%
23-Jul-07,6390.4,"6,412.80","6,412.80","6,359.40",546.28M,-0.49%
24-Jul-07,6422.3,"6,398.50","6,432.20","6,398.50",730.98M,0.50%
25-Jul-07,6340.5,"6,396.00","6,396.10","6,334.50",573.33M,-1.27%
26-Jul-07,6258.5,"6,344.40","6,351.80","6,258.50",860.05M,-1.29%
